Model,Faux-pas Recognition Test (ZH),Unexpected Outcome Test (ZH),Persuasion Story Task (ZH),False Belief Task (ZH),Ambiguous Story Task (ZH),Strange Story Task (ZH),Hinting Task Test (ZH),Scalar Implicature Test (ZH),Faux-pas Recognition Test (EN),Unexpected Outcome Test (EN),Persuasion Story Task (EN),False Belief Task (EN),Ambiguous Story Task (EN),Strange Story Task (EN),Hinting Task Test (EN),Scalar Implicature Test (EN)
Qwen2.5-14B-Trim,0.7375 ± 0.0364,0.7400 ± 0.0494,0.5300 ± 0.0960,0.8433 ± 0.0291,0.7650 ± 0.0584,0.7076 ± 0.0440,0.8058 ± 0.0758,0.4650 ± 0.0685,0.7393 ± 0.0363,0.7033 ± 0.0514,0.5300 ± 0.0960,0.8900 ± 0.0251,0.7400 ± 0.0604,0.7887 ± 0.0396,0.6893 ± 0.0880,0.4600 ± 0.0684
Qwen2.5-14B-2:4-Sparse,0.7054 ± 0.0377,0.6200 ± 0.0546,0.4600 ± 0.0959,0.5750 ± 0.0394,0.5550 ± 0.0682,0.5111 ± 0.0483,0.3301 ± 0.0894,0.4400 ± 0.0682,0.6929 ± 0.0381,0.5933 ± 0.0552,0.5000 ± 0.0962,0.6517 ± 0.0380,0.5500 ± 0.0683,0.6732 ± 0.0454,0.4078 ± 0.0932,0.3750 ± 0.0665
Qwen2.5-14B-Unstructured-Sparse,0.6696 ± 0.0388,0.7000 ± 0.0516,0.5300 ± 0.0960,0.6467 ± 0.0381,0.6850 ± 0.0639,0.5971 ± 0.0474,0.6117 ± 0.0925,0.4350 ± 0.0681,0.6893 ± 0.0382,0.6633 ± 0.0532,0.5400 ± 0.0959,0.8167 ± 0.0309,0.6600 ± 0.0651,0.7174 ± 0.0436,0.6019 ± 0.0929,0.4450 ± 0.0682
Qwen2.5-32B-FP16,0.7786 ± 0.0343,0.7433 ± 0.0492,0.5600 ± 0.0955,0.8233 ± 0.0305,0.7900 ± 0.0562,0.7445 ± 0.0422,0.8447 ± 0.0698,0.4350 ± 0.0681,0.7286 ± 0.0367,0.7533 ± 0.0486,0.5600 ± 0.0955,0.8883 ± 0.0252,0.8050 ± 0.0547,0.8157 ± 0.0376,0.8447 ± 0.0698,0.4400 ± 0.0682
Qwen2.5-32B-BNB-4bit,0.7804 ± 0.0342,0.7500 ± 0.0488,0.5500 ± 0.0957,0.7983 ± 0.0321,0.7500 ± 0.0596,0.7322 ± 0.0429,0.8252 ± 0.0730,0.4450 ± 0.0682,0.7286 ± 0.0367,0.7000 ± 0.0516,0.5700 ± 0.0953,0.8883 ± 0.0252,0.7900 ± 0.0562,0.8059 ± 0.0384,0.8350 ± 0.0714,0.4200 ± 0.0678
Qwen2.5-32B-GPTQ-INT4,0.7821 ± 0.0341,0.7600 ± 0.0481,0.5600 ± 0.0955,0.8000 ± 0.0320,0.7800 ± 0.0571,0.7273 ± 0.0431,0.8155 ± 0.0744,0.4350 ± 0.0681,0.7268 ± 0.0368,0.7400 ± 0.0494,0.6400 ± 0.0925,0.9017 ± 0.0239,0.7900 ± 0.0562,0.8108 ± 0.0380,0.8641 ± 0.0663,0.4000 ± 0.0673
Qwen2.5-32B-AWQ,0.7625 ± 0.0352,0.7767 ± 0.0470,0.5700 ± 0.0953,0.7900 ± 0.0325,0.7650 ± 0.0584,0.7838 ± 0.0399,0.8350 ± 0.0714,0.4500 ± 0.0683,0.7589 ± 0.0354,0.7300 ± 0.0500,0.5600 ± 0.0955,0.8700 ± 0.0269,0.7950 ± 0.0557,0.8059 ± 0.0384,0.8350 ± 0.0714,0.4200 ± 0.0678
Qwen2.5-32B-2:4-Sparse,0.6732 ± 0.0387,0.6967 ± 0.0517,0.4600 ± 0.0959,0.5183 ± 0.0399,0.7000 ± 0.0630,0.7445 ± 0.0422,0.5243 ± 0.0947,0.4250 ± 0.0679,0.6625 ± 0.0390,0.6367 ± 0.0541,0.5200 ± 0.0961,0.6483 ± 0.0381,0.7150 ± 0.0621,0.7297 ± 0.0430,0.5728 ± 0.0938,0.4550 ± 0.0684
Qwen2.5-32B-Unstructured-Sparse,0.7161 ± 0.0372,0.7400 ± 0.0494,0.4600 ± 0.0959,0.6367 ± 0.0384,0.7700 ± 0.0580,0.6732 ± 0.0454,0.7670 ± 0.0807,0.4250 ± 0.0679,0.7000 ± 0.0379,0.7233 ± 0.0504,0.5000 ± 0.0962,0.7533 ± 0.0344,0.7550 ± 0.0592,0.7936 ± 0.0392,0.7282 ± 0.0848,0.4100 ± 0.0675
Llama3.1-8B-FP16,0.7339 ± 0.0365,0.6867 ± 0.0522,0.4900 ± 0.0962,0.4967 ± 0.0399,0.7150 ± 0.0621,0.6585 ± 0.0459,0.6408 ± 0.0911,0.4350 ± 0.0681,0.7036 ± 0.0377,0.6600 ± 0.0533,0.5600 ± 0.0955,0.6433 ± 0.0382,0.7050 ± 0.0627,0.6953 ± 0.0445,0.6019 ± 0.0929,0.4150 ± 0.0677
Llama3.1-8B-BNB-4bit,0.6786 ± 0.0386,0.6700 ± 0.0529,0.4500 ± 0.0957,0.5150 ± 0.0399,0.7150 ± 0.0621,0.6855 ± 0.0449,0.6311 ± 0.0916,0.4100 ± 0.0675,0.6804 ± 0.0385,0.6233 ± 0.0545,0.5800 ± 0.0950,0.6517 ± 0.0380,0.7350 ± 0.0607,0.6929 ± 0.0446,0.6214 ± 0.0921,0.3950 ± 0.0671
Llama3.1-8B-GPTQ-INT4,0.7071 ± 0.0376,0.6567 ± 0.0534,0.4200 ± 0.0950,0.5300 ± 0.0398,0.6750 ± 0.0644,0.6437 ± 0.0463,0.6796 ± 0.0887,0.4300 ± 0.0680,0.7143 ± 0.0373,0.6400 ± 0.0540,0.5200 ± 0.0961,0.7117 ± 0.0362,0.6950 ± 0.0633,0.6413 ± 0.0464,0.5534 ± 0.0943,0.3650 ± 0.0661
Llama3.1-8B-AWQ,0.7196 ± 0.0371,0.7000 ± 0.0516,0.4300 ± 0.0953,0.5650 ± 0.0395,0.7050 ± 0.0627,0.6241 ± 0.0469,0.6117 ± 0.0925,0.4000 ± 0.0673,0.7071 ± 0.0376,0.6300 ± 0.0543,0.5400 ± 0.0959,0.6350 ± 0.0384,0.6750 ± 0.0644,0.6143 ± 0.0471,0.5922 ± 0.0932,0.4250 ± 0.0679
Llama3.1-8B-2:4-Sparse,0.4839 ± 0.0413,0.3033 ± 0.0517,0.2500 ± 0.0838,0.3883 ± 0.0389,0.2550 ± 0.0600,0.3686 ± 0.0467,0.2913 ± 0.0865,0.2950 ± 0.0627,0.5250 ± 0.0412,0.3500 ± 0.0537,0.3300 ± 0.0907,0.3883 ± 0.0389,0.3450 ± 0.0653,0.2752 ± 0.0432,0.4272 ± 0.0938,0.2900 ± 0.0624
